principal_component_1,principal_component_2,principal_component_3,icon
-1.0027113304113722,0.6319625285406344,1.0204497984305012,rain
1.8102454254676221,0.4725616991993231,-0.9844422960257516,rain
-1.3217608873138755,0.3280069175295057,-1.294977333989398,snow
-2.113219852015894,-2.4412530100537504,2.1124507461480038,clear-day
-2.825162148704279,0.37772870101368977,-1.1949649796019084,other
2.831918561981105,-1.425389640319184,-0.5096419515045657,clear-day
-1.2330841480025652,-0.8796147931509217,-0.41095147429708134,clear-day
-6.344406313738376,-1.2975439088191993,-0.6599691224715537,snow
-1.1401139046256707,-0.6259368283719353,-1.0575806871633577,other
-1.5290016482247462,-0.7962743706638767,1.2074170376601163,clear-day
