principal_component_1,principal_component_2,principal_component_3
-0.30280036896471213,0.5790231088455438,0.2161653077928388
-0.27265700527457726,0.3440785984433397,0.1865169003956836
-0.2530359398739802,0.22001207244619292,0.2224112060345031
-0.2653691082187424,0.33618095589429287,0.2826135475945326
-0.19516904118902667,-0.5429703277859109,-0.4265215395485455
-0.3795462428026921,0.8665905372479963,-0.33626006015540133
-0.29351963973273193,0.4156777188349127,0.02660404148352509
-0.48877382435482025,1.494935762400932,-0.7001016904248324
-0.347043330358014,0.5575163946252094,-0.46829744123572653
-0.24983809182190547,0.08725314155421966,0.002197872861111769
