principal_component_1,principal_component_2,principal_component_3
-4.657851602395547,-1.4032547325141802,-1.0311763379275916
-3.8954482985813987,-3.6157096791738907,-0.21646310076759495
-3.3836767798132783,-2.8742243800576768,-0.2050296165506843
-2.621581090389372,-2.6796937846863176,-1.0037832373530748
-2.5553859495893803,-2.62446622507094,-0.6281269001338069
-3.6628002056941673,0.34359756983797946,1.5195715949592323
-4.547421285607216,-0.1785714041975441,3.0631655748412916
-2.6241306989572344,-2.111392147559191,-0.006580951548437643
-1.954785179887368,-2.406679707139781,-0.8466757702691662
-2.738489007420745,-1.102249290478255,-0.8879170516672688
